Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Training Stress Score®,Grit,Flow,Bottom Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Runs,Max Temp
Cycling,25-08-19 9:10,FALSE,Washington Cycling,3,176,0:31:15,92,132,0.6,--,--,5.8,15.8,180,79,0,0,0,0,0,0,0:00,77,0:00,No,00:00.0,1,0
Cycling,24-08-19 13:09,FALSE,Washington Cycling,2.89,181,0:30:59,93,120,0.5,--,--,5.6,16.9,46,171,0,0,0,0,0,0,0:00,87.8,0:00,No,00:00.0,1,0
Cycling,24-08-19 3:39,FALSE,Washington Cycling,0.95,76,06:43.6,121,141,1.1,--,--,8.5,21.8,23,49,0,0,0,0,0,0,0:00,73.4,0:00,No,00:00.0,1,0
Cycling,23-08-19 15:03,FALSE,Washington Cycling,0.76,85,07:37.2,120,128,1.1,--,--,6,13.5,49,16,0,0,0,0,0,0,0:00,77,0:00,No,00:00.0,1,0
Cycling,23-08-19 2:42,FALSE,Washington Cycling,1.07,143,7:14:54,87,125,0.4,--,--,0.1,20,36,49,0,0,0,0,0,0,0:00,69.8,0:00,No,00:00.0,1,0
Cycling,22-08-19 15:04,FALSE,Washington Cycling,0.16,50,07:19.6,98,111,0.2,--,--,1.3,11.4,46,--,0,0,0,0,0,0,0:00,82.4,0:00,No,00:00.0,1,0
Running,21-08-19 16:21,FALSE,Washington Running,2.01,276,0:17:54,150,170,3.2,165,183,8:55,6:57,161,75,1.09,0,0,0,0,0,0:00,86,0:00,No,00:03.1,3,0
Cycling,20-08-19 23:01,FALSE,Washington Cycling,2.12,111,0:20:03,90,118,0.4,--,--,6.3,13.5,79,49,0,0,0,0,0,0,0:00,80.6,0:00,No,00:00.0,1,0
Cycling,20-08-19 16:07,FALSE,Washington Cycling,2.03,107,0:11:13,112,146,1.1,--,--,10.9,16.4,49,79,0,0,0,0,0,0,0:00,82.4,0:00,No,00:00.0,1,0
Cycling,20-08-19 15:03,FALSE,Washington Cycling,0.87,64,0:10:40,92,106,0.2,--,--,4.9,14.6,23,30,0,0,0,0,0,0,0:00,93.2,0:00,No,00:00.0,1,0
Cycling,19-08-19 22:49,FALSE,Washington Cycling,0.91,57,07:03.7,104,122,0.4,--,--,7.7,19.2,20,66,0,0,0,0,0,0,0:00,87.8,0:00,No,00:00.0,1,0
Cycling,18-08-19 21:53,FALSE,Washington Cycling,2.02,108,0:17:59,93,112,0.4,--,--,6.7,12.7,75,36,0,0,0,0,0,0,0:00,86,0:00,No,00:00.0,1,0
Cycling,18-08-19 11:02,FALSE,Washington Cycling,1.05,65,0:10:27,94,110,0.3,--,--,6.1,20.4,20,46,0,0,0,0,0,0,0:00,93.2,0:00,No,00:00.0,1,0
Cycling,18-08-19 4:18,FALSE,Washington Cycling,0.86,112,0:22:13,87,125,0.3,--,--,2.3,18.8,43,46,0,0,0,0,0,0,0:00,82.4,0:00,No,00:00.0,1,0
Cycling,17-08-19 15:04,FALSE,Washington Cycling,0.48,54,06:27.8,105,128,0.5,--,--,4.5,17.1,49,3,0,0,0,0,0,0,0:00,80.6,0:00,No,00:00.0,1,0
Cycling,17-08-19 0:55,FALSE,Washington Cycling,2.12,124,0:17:52,99,124,0.6,--,--,7.1,16.4,72,39,0,0,0,0,0,0,0:00,84.2,0:00,No,00:00.0,1,0
Cycling,16-08-19 15:50,FALSE,Washington Cycling,1.9,113,0:12:19,111,130,0.8,--,--,9.2,16.9,46,56,0,0,0,0,0,0,0:00,87.8,0:00,No,00:00.0,1,0
Cycling,14-08-19 21:14,FALSE,Washington Cycling,0.76,45,06:15.3,99,117,0.3,--,--,7.3,22,23,52,0,0,0,0,0,0,0:00,84.2,0:00,No,00:00.0,1,0
Cycling,14-08-19 16:52,FALSE,Washington Cycling,1.01,33,06:53.3,84,98,0.1,--,--,8.8,16.9,59,26,0,0,0,0,0,0,0:00,82.4,0:00,No,00:00.0,1,0
Cycling,12-08-19 18:47,FALSE,Washington Cycling,1.02,47,07:38.0,93,117,0.2,--,--,8,21.5,20,43,0,0,0,0,0,0,0:00,87.8,0:00,No,00:00.0,1,0
Cycling,12-08-19 18:16,FALSE,Washington Cycling,0.84,62,07:17.1,106,128,0.5,--,--,6.9,18.5,59,7,0,0,0,0,0,0,0:00,77,0:00,No,00:00.0,1,0
Cycling,11-08-19 3:54,FALSE,Washington Cycling,0.83,72,0:12:32,91,109,0.2,--,--,4,19.7,36,59,0,0,0,0,0,0,0:00,77,0:00,No,00:00.0,1,0
Cycling,10-08-19 18:33,FALSE,Washington Cycling,1.07,57,06:19.9,109,131,0.5,--,--,10.2,26.5,36,20,0,0,0,0,0,0,0:00,80.6,0:00,No,00:00.0,1,0
Running,10-08-19 12:02,FALSE,Washington Running,3.12,464,0:35:02,137,158,2.7,151,173,11:13,8:32,190,148,0.95,0,0,0,0,0,0:00,82.4,0:00,No,01:12.3,4,0
Cycling,09-08-19 15:50,FALSE,Washington Cycling,1.99,64,0:10:11,94,112,0.2,--,--,11.7,19.6,49,69,0,0,0,0,0,0,0:00,82.4,0:00,No,00:00.0,1,0
Cycling,09-08-19 2:28,FALSE,Washington Cycling,0.87,39,05:21.3,99,113,0.2,--,--,9.8,23.5,26,43,0,0,0,0,0,0,0:00,84.2,0:00,No,00:00.0,1,0
Cycling,08-08-19 15:07,FALSE,Washington Cycling,1.03,25,06:11.0,79,94,0,--,--,10,23.1,56,13,0,0,0,0,0,0,0:00,80.6,0:00,No,00:00.0,1,0
Cycling,08-08-19 0:09,FALSE,Washington Cycling,1.19,153,0:27:23,91,128,0.5,--,--,2.6,18.8,36,56,0,0,0,0,0,0,0:00,80.6,0:00,No,00:00.0,1,0
Cycling,07-08-19 15:09,FALSE,Washington Cycling,0.91,55,06:52.7,103,127,0.3,--,--,7.9,16.3,43,26,0,0,0,0,0,0,0:00,82.4,0:00,No,00:00.0,1,0
